Race's Country,Race's Distance,Runner's Gender,Participation Count
,,,973554
,,F,249918
,,M,723636
,100km,,275267
,100km,F,52161
,100km,M,223106
,100mi,,64393
,100mi,F,15033
,100mi,M,49360
,50km,,542263
,50km,F,155357
,50km,M,386906
,50mi,,91631
,50mi,F,27367
,50mi,M,64264
ALG,,,5
ALG,,F,1
ALG,,M,4
ALG,100km,,5
ALG,100km,F,1
ALG,100km,M,4
AND,,,333
AND,,F,48
AND,,M,285
AND,50km,,333
AND,50km,F,48
AND,50km,M,285
ARG,,,5590
ARG,,F,1434
ARG,,M,4156
ARG,100km,,764
ARG,100km,F,149
ARG,100km,M,615
ARG,100mi,,223
ARG,100mi,F,37
ARG,100mi,M,186
ARG,50km,,4603
ARG,50km,F,1248
ARG,50km,M,3355
AUS,,,25707
AUS,,F,9438
AUS,,M,16269
AUS,100km,,8005
AUS,100km,F,2380
AUS,100km,M,5625
AUS,100mi,,1073
AUS,100mi,F,265
AUS,100mi,M,808
AUS,50km,,15988
AUS,50km,F,6555
AUS,50km,M,9433
AUS,50mi,,641
AUS,50mi,F,238
AUS,50mi,M,403
AUT,,,3109
AUT,,F,552
AUT,,M,2557
AUT,100km,,298
AUT,100km,F,51
AUT,100km,M,247
AUT,50km,,2811
AUT,50km,F,501
AUT,50km,M,2310
BEL,,,7173
BEL,,F,1001
BEL,,M,6172
BEL,100km,,1532
BEL,100km,F,172
BEL,100km,M,1360
BEL,100mi,,433
BEL,100mi,F,69
BEL,100mi,M,364
BEL,50km,,4831
BEL,50km,F,714
BEL,50km,M,4117
BEL,50mi,,377
BEL,50mi,F,46
BEL,50mi,M,331
BIH,,,77
BIH,,F,18
BIH,,M,59
BIH,100km,,30
BIH,100km,F,9
BIH,100km,M,21
BIH,50km,,47
BIH,50km,F,9
BIH,50km,M,38
BOL,,,21
BOL,,F,2
BOL,,M,19
BOL,50km,,21
BOL,50km,F,2
BOL,50km,M,19
BRA,,,3156
BRA,,F,783
BRA,,M,2373
BRA,100km,,432
BRA,100km,F,93
BRA,100km,M,339
BRA,50km,,2724
BRA,50km,F,690
BRA,50km,M,2034
BRU,,,168
BRU,,F,26
BRU,,M,142
BRU,100km,,42
BRU,100km,F,5
BRU,100km,M,37
BRU,50km,,126
BRU,50km,F,21
BRU,50km,M,105
BUL,,,134
BUL,,F,25
BUL,,M,109
BUL,100km,,50
BUL,100km,F,10
BUL,100km,M,40
BUL,50km,,84
BUL,50km,F,15
BUL,50km,M,69
CAN,,,17133
CAN,,F,6186
CAN,,M,10947
CAN,100km,,1417
CAN,100km,F,400
CAN,100km,M,1017
CAN,100mi,,883
CAN,100mi,F,213
CAN,100mi,M,670
CAN,50km,,12507
CAN,50km,F,4803
CAN,50km,M,7704
CAN,50mi,,2326
CAN,50mi,F,770
CAN,50mi,M,1556
CAY,,,11
CAY,,F,5
CAY,,M,6
CAY,50km,,11
CAY,50km,F,5
CAY,50km,M,6
CHI,,,1502
CHI,,F,310
CHI,,M,1192
CHI,100km,,370
CHI,100km,F,61
CHI,100km,M,309
CHI,100mi,,28
CHI,100mi,F,5
CHI,100mi,M,23
CHI,50km,,1101
CHI,50km,F,242
CHI,50km,M,859
CHI,50mi,,3
CHI,50mi,F,2
CHI,50mi,M,1
CHN,,,49871
CHN,,F,10416
CHN,,M,39455
CHN,100km,,12586
CHN,100km,F,2188
CHN,100km,M,10398
CHN,100mi,,1052
CHN,100mi,F,185
CHN,100mi,M,867
CHN,50km,,36140
CHN,50km,F,8030
CHN,50km,M,28110
CHN,50mi,,93
CHN,50mi,F,13
CHN,50mi,M,80
COL,,,157
COL,,F,23
COL,,M,134
COL,100km,,41
COL,100km,F,5
COL,100km,M,36
COL,100mi,,60
COL,100mi,F,13
COL,100mi,M,47
COL,50km,,56
COL,50km,F,5
COL,50km,M,51
CRC,,,543
CRC,,F,130
CRC,,M,413
CRC,100km,,46
CRC,100km,F,8
CRC,100km,M,38
CRC,50km,,497
CRC,50km,F,122
CRC,50km,M,375
CRO,,,1145
CRO,,F,349
CRO,,M,796
CRO,100km,,750
CRO,100km,F,275
CRO,100km,M,475
CRO,100mi,,149
CRO,100mi,F,17
CRO,100mi,M,132
CRO,50km,,201
CRO,50km,F,41
CRO,50km,M,160
CRO,50mi,,45
CRO,50mi,F,16
CRO,50mi,M,29
CYP,,,33
CYP,,F,8
CYP,,M,25
CYP,50km,,33
CYP,50km,F,8
CYP,50km,M,25
CZE,,,4767
CZE,,F,774
CZE,,M,3993
CZE,100km,,2366
CZE,100km,F,374
CZE,100km,M,1992
CZE,100mi,,118
CZE,100mi,F,24
CZE,100mi,M,94
CZE,50km,,2283
CZE,50km,F,376
CZE,50km,M,1907
DEN,,,3132
DEN,,F,561
DEN,,M,2571
DEN,100km,,719
DEN,100km,F,122
DEN,100km,M,597
DEN,100mi,,498
DEN,100mi,F,72
DEN,100mi,M,426
DEN,50km,,1283
DEN,50km,F,288
DEN,50km,M,995
DEN,50mi,,632
DEN,50mi,F,79
DEN,50mi,M,553
DOM,,,138
DOM,,F,40
DOM,,M,98
DOM,100km,,88
DOM,100km,F,28
DOM,100km,M,60
DOM,50km,,50
DOM,50km,F,12
DOM,50km,M,38
ECU,,,218
ECU,,F,35
ECU,,M,183
ECU,100km,,17
ECU,100km,F,3
ECU,100km,M,14
ECU,50km,,201
ECU,50km,F,32
ECU,50km,M,169
EGY,,,17
EGY,,M,17
EGY,100km,,17
EGY,100km,M,17
ESA,,,3
ESA,,F,1
ESA,,M,2
ESA,100km,,3
ESA,100km,F,1
ESA,100km,M,2
ESP,,,10693
ESP,,F,1101
ESP,,M,9592
ESP,100km,,5985
ESP,100km,F,585
ESP,100km,M,5400
ESP,100mi,,162
ESP,100mi,F,17
ESP,100mi,M,145
ESP,50km,,4466
ESP,50km,F,483
ESP,50km,M,3983
ESP,50mi,,80
ESP,50mi,F,16
ESP,50mi,M,64
EST,,,324
EST,,F,86
EST,,M,238
EST,100km,,247
EST,100km,F,66
EST,100km,M,181
EST,50km,,77
EST,50km,F,20
EST,50km,M,57
FIN,,,1667
FIN,,F,512
FIN,,M,1155
FIN,100km,,1117
FIN,100km,F,350
FIN,100km,M,767
FIN,100mi,,95
FIN,100mi,F,28
FIN,100mi,M,67
FIN,50km,,231
FIN,50km,F,64
FIN,50km,M,167
FIN,50mi,,224
FIN,50mi,F,70
FIN,50mi,M,154
FRA,,,39961
FRA,,F,6179
FRA,,M,33782
FRA,100km,,18751
FRA,100km,F,3065
FRA,100km,M,15686
FRA,100mi,,375
FRA,100mi,F,110
FRA,100mi,M,265
FRA,50km,,20632
FRA,50km,F,2992
FRA,50km,M,17640
FRA,50mi,,203
FRA,50mi,F,12
FRA,50mi,M,191
GBR,,,48842
