raceID,raceCountry,raceDistance,raceName
6767,ITA,100km,100 km di seregno della brianz
1742,USA,50km,fools 50k trail ru
3620,AUS,100km,ultra-trail australia 100 k
287,USA,50km,potomac heritage trai
6134,USA,50km,norwitch halloween ultra rac
3584,USA,50mi,endurance challenge - new york trail 50 mile
3289,USA,50km,lovers leap of faith 50 k
7104,USA,100mi,oil creek 100 miles trail ru
7470,USA,50km,mt. hood 50 km trail ru
5466,USA,100mi,viaduct trail ultramarathon 100 mil
6689,CHN,100km,xibopo 10
147,USA,50mi,barrier island 50 mile ultra rac
6055,CHN,50km,aijiangshan trail series - xisha
6937,USA,100km,santa barbara 100 km endurance rac
5852,GBR,100mi,lakeland 100 mil
595,SWE,50km,fj+�llmaraton bydalsfj+�lle
5229,PHI,50mi,clark-miyamit falls trail ultra (cm50
4702,USA,50km,franklin mountains trail ru
4203,CAN,100mi,iron horse ultra 100 mile rac
6031,PHI,50km,tagaytay to nasugbu (t2n) 50k ultra maratho
8132,IRL,100km,the tralee 100k ultra maratho
818,CAN,50km,grizzly ultra maratho
679,USA,100mi,big cedar endurance run 100 mil
6629,TPE,50km,the peach blossom land 50
7356,CAN,50km,summer river valley revenge 50
6494,FRA,100km,grand trail stevenson (gts) 100 k
6360,GBR,100km,stour valley path 100km ultra ru
2088,FRA,50km,le trail la 1/2 barj
2824,USA,50km,tesla hertz run 50 k
2537,USA,50km,spitfire ultra trail challeng
7990,USA,50km,wicked root 50 km rac
3418,AUS,100mi,brisbane valley rail trail 100m
1916,USA,50km,wild woman trail maratho
1371,USA,50mi,north fork 50 mile trail rac
6934,NEP,50km,kathmandu 50 km ultra trai
5364,USA,50mi,the bear chase 50 mil
1788,SWE,100km,norrk+?ping ultra 100k
1502,GBR,100mi,the arc of attrition 100 mil
2026,GBR,100mi,pennine barrier ultra 10
3746,USA,50km,evergreen lake 50 km ultr
7286,USA,100mi,the yeti 100 mile endurance ru
678,NED,50km,langstenachtloop 12 uurs - 50km spli
5842,USA,50mi,the hitchcock experience 50 mile
7572,USA,50km,woodlands ultra - saturday morning star
6373,CAN,50km,run4rkids 50 km indoor track rac
1805,USA,50km,michigan trail marathon 50
6806,GBR,100mi,enduroman 100 mile ultra maratho
5739,USA,50km,way too cool 50k endurance ru
5216,USA,50km,dizzy fifties - 50 km trail ru
864,KOR,100km,mungyeong 100 km ultra maratho
4116,USA,50km,dances with dirt - hell 50k ultr
1202,ITA,50km,trail delle valli etrusch
1260,POL,100km,mistrzostwa +�odzi w biegu na 100 k
5484,NOR,50km,undheim 50 k
577,USA,50km,oil creek 50 km trail ru
3123,HUN,100km,s+�rv+�ri 12 +�r+�s fut+�s 2018 - 100km spli
5511,AUS,50km,gone nuts 50 km ultr
5549,AUS,100km,adelaide 12 hour race - 100km spli
4771,USA,50km,dorset running festival - lost cat 50
